UtilityCaptive,State,Sector,EnergySource,EnergySourceType,YearValue,Generation_GWh,PLF_Percent
UTILITY,KERALA,PRIVATE,NATURAL GAS,NON-RENEWABLE,2009,845.87,0
UTILITY,KERALA,PRIVATE,DIESEL,NON-RENEWABLE,2009,97.24,0
UTILITY,KERALA,PRIVATE,HYDRO,NON-RENEWABLE,2009,63.69,0
UTILITY,KERALA,CENTRAL,NATURAL GAS,NON-RENEWABLE,2009,2022.4,0
CAPTIVE,KERALA,CAPTIVE,DIESEL,NON-RENEWABLE,2009,58.52,0
CAPTIVE,KERALA,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2009,145.83,0
CAPTIVE,KERALA,CAPTIVE,HYDRO,NON-RENEWABLE,2009,34.5,0
CAPTIVE,KERALA,CAPTIVE,COAL,NON-RENEWABLE,2009,264.46,0
UTILITY,PUDUCHERRY,STATE,NATURAL GAS,NON-RENEWABLE,2009,258.17,0
CAPTIVE,PUDUCHERRY,CAPTIVE,DIESEL,NON-RENEWABLE,2009,24.23,0
CAPTIVE,PUDUCHERRY,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2009,160.69,0
CAPTIVE,PUDUCHERRY,CAPTIVE,HYDRO,NON-RENEWABLE,2009,0,0
CAPTIVE,PUDUCHERRY,CAPTIVE,COAL,NON-RENEWABLE,2009,5.84,0
UTILITY,RAJASTHAN,STATE,COAL,NON-RENEWABLE,2009,18880.34,88.86
UTILITY,RAJASTHAN,STATE,NATURAL GAS,NON-RENEWABLE,2009,2638.03,0
UTILITY,RAJASTHAN,STATE,HYDRO,NON-RENEWABLE,2009,670.97,0
UTILITY,RAJASTHAN,PRIVATE,COAL,NON-RENEWABLE,2009,0,0
UTILITY,RAJASTHAN,CENTRAL,NATURAL GAS,NON-RENEWABLE,2009,2515.6,0
UTILITY,RAJASTHAN,CENTRAL,NUCLEAR,NON-RENEWABLE,2009,2255.42,34.79
CAPTIVE,RAJASTHAN,CAPTIVE,DIESEL,NON-RENEWABLE,2009,406.02,0
CAPTIVE,RAJASTHAN,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2009,205.46,0
CAPTIVE,RAJASTHAN,CAPTIVE,HYDRO,NON-RENEWABLE,2009,0,0
CAPTIVE,RAJASTHAN,CAPTIVE,COAL,NON-RENEWABLE,2009,5962.6,0
UTILITY,TAMILNADU,STATE,COAL,NON-RENEWABLE,2009,21022.83,80.8
UTILITY,TAMILNADU,STATE,NATURAL GAS,NON-RENEWABLE,2009,2564.34,80.8
UTILITY,TAMILNADU,STATE,HYDRO,NON-RENEWABLE,2009,5369.48,0
UTILITY,TAMILNADU,PRIVATE,NATURAL GAS,NON-RENEWABLE,2009,3293.39,0
UTILITY,TAMILNADU,PRIVATE,DIESEL,NON-RENEWABLE,2009,2705.01,0
UTILITY,TAMILNADU,PRIVATE,LIGNITE,NON-RENEWABLE,2009,1778.31,0
UTILITY,TAMILNADU,CENTRAL,LIGNITE,NON-RENEWABLE,2009,15765.68,72.28
UTILITY,TAMILNADU,CENTRAL,NUCLEAR,NON-RENEWABLE,2009,1517.63,39.37
CAPTIVE,TAMILNADU,CAPTIVE,DIESEL,NON-RENEWABLE,2009,1823.15,0
CAPTIVE,TAMILNADU,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2009,361.63,0
CAPTIVE,TAMILNADU,CAPTIVE,HYDRO,NON-RENEWABLE,2009,0,0
CAPTIVE,TAMILNADU,CAPTIVE,COAL,NON-RENEWABLE,2009,4634.62,0
UTILITY,DELHI,STATE,COAL,NON-RENEWABLE,2009,1832.21,54.68
UTILITY,DELHI,STATE,NATURAL GAS,NON-RENEWABLE,2009,3681.68,0
UTILITY,DELHI,PRIVATE,NATURAL GAS,NON-RENEWABLE,2009,0,0
UTILITY,DELHI,CENTRAL,COAL,NON-RENEWABLE,2009,5503.92,88.49
CAPTIVE,DELHI,CAPTIVE,DIESEL,NON-RENEWABLE,2009,0.55,0
CAPTIVE,DELHI,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2009,0,0
CAPTIVE,DELHI,CAPTIVE,HYDRO,NON-RENEWABLE,2009,0,0
CAPTIVE,DELHI,CAPTIVE,COAL,NON-RENEWABLE,2009,0,0
UTILITY,HARYANA,STATE,COAL,NON-RENEWABLE,2009,13504.13,73.68
UTILITY,HARYANA,STATE,HYDRO,NON-RENEWABLE,2009,282.4,0
UTILITY,HARYANA,CENTRAL,NATURAL GAS,NON-RENEWABLE,2009,2380.5,0
CAPTIVE,HARYANA,CAPTIVE,DIESEL,NON-RENEWABLE,2009,488.79,0
CAPTIVE,HARYANA,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2009,258.44,0
CAPTIVE,HARYANA,CAPTIVE,HYDRO,NON-RENEWABLE,2009,0,0
CAPTIVE,HARYANA,CAPTIVE,COAL,NON-RENEWABLE,2009,395.07,0
UTILITY,HIMACHAL PRADESH,CENTRAL,HYDRO,NON-RENEWABLE,2009,10043.4,0
UTILITY,HIMACHAL PRADESH,STATE,HYDRO,NON-RENEWABLE,2009,2024.6,0
UTILITY,HIMACHAL PRADESH,PRIVATE,HYDRO,NON-RENEWABLE,2009,1643,0
UTILITY,HIMACHAL PRADESH,CENTRAL,HYDRO,NON-RENEWABLE,2009,10798.93,0
CAPTIVE,HIMACHAL PRADESH,CAPTIVE,DIESEL,NON-RENEWABLE,2009,58.4,0
CAPTIVE,HIMACHAL PRADESH,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2009,0,0
CAPTIVE,HIMACHAL PRADESH,CAPTIVE,HYDRO,NON-RENEWABLE,2009,0,0
CAPTIVE,HIMACHAL PRADESH,CAPTIVE,COAL,NON-RENEWABLE,2009,33.1,0
UTILITY,KARNATAKA,STATE,COAL,NON-RENEWABLE,2009,11741.92,71.05
UTILITY,KARNATAKA,STATE,DIESEL,NON-RENEWABLE,2009,456.11,71.05
UTILITY,KARNATAKA,STATE,HYDRO,NON-RENEWABLE,2009,12884.42,0
UTILITY,KARNATAKA,PRIVATE,COAL,NON-RENEWABLE,2009,1252.23,0
UTILITY,KARNATAKA,PRIVATE,NATURAL GAS,NON-RENEWABLE,2009,770.08,0
UTILITY,KARNATAKA,PRIVATE,DIESEL,NON-RENEWABLE,2009,565.47,0
UTILITY,KARNATAKA,PRIVATE,HYDRO,NON-RENEWABLE,2009,269.71,0
UTILITY,KARNATAKA,CENTRAL,NUCLEAR,NON-RENEWABLE,2009,2688.16,46.5
CAPTIVE,KARNATAKA,CAPTIVE,DIESEL,NON-RENEWABLE,2009,907.96,0
CAPTIVE,KARNATAKA,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2009,48.18,0
CAPTIVE,KARNATAKA,CAPTIVE,HYDRO,NON-RENEWABLE,2009,83.59,0
CAPTIVE,KARNATAKA,CAPTIVE,COAL,NON-RENEWABLE,2009,3662.86,0
UTILITY,PUNJAB,CENTRAL,HYDRO,NON-RENEWABLE,2009,1065.67,0
UTILITY,PUNJAB,STATE,COAL,NON-RENEWABLE,2009,18066.41,85.48
UTILITY,PUNJAB,STATE,HYDRO,NON-RENEWABLE,2009,4227.74,0
CAPTIVE,PUNJAB,CAPTIVE,DIESEL,NON-RENEWABLE,2009,178,0
CAPTIVE,PUNJAB,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2009,0.23,0
CAPTIVE,PUNJAB,CAPTIVE,HYDRO,NON-RENEWABLE,2009,0,0
CAPTIVE,PUNJAB,CAPTIVE,COAL,NON-RENEWABLE,2009,696.27,0
UTILITY,UTTARAKHAND,STATE,HYDRO,NON-RENEWABLE,2009,4572.82,0
UTILITY,UTTARAKHAND,PRIVATE,HYDRO,NON-RENEWABLE,2009,2033.37,0
UTILITY,UTTARAKHAND,CENTRAL,HYDRO,NON-RENEWABLE,2009,4718.77,0
CAPTIVE,UTTARAKHAND,CAPTIVE,DIESEL,NON-RENEWABLE,2009,24.25,0
CAPTIVE,UTTARAKHAND,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2009,0,0
CAPTIVE,UTTARAKHAND,CAPTIVE,HYDRO,NON-RENEWABLE,2009,0,0
CAPTIVE,UTTARAKHAND,CAPTIVE,COAL,NON-RENEWABLE,2009,416.84,0
UTILITY,GOA,PRIVATE,NATURAL GAS,NON-RENEWABLE,2009,324.84,0
CAPTIVE,GOA,CAPTIVE,DIESEL,NON-RENEWABLE,2009,102,0
CAPTIVE,GOA,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2009,0,0
CAPTIVE,GOA,CAPTIVE,HYDRO,NON-RENEWABLE,2009,0,0
CAPTIVE,GOA,CAPTIVE,COAL,NON-RENEWABLE,2009,0,0
UTILITY,MANIPUR,STATE,DIESEL,NON-RENEWABLE,2009,0,0
UTILITY,MANIPUR,CENTRAL,HYDRO,NON-RENEWABLE,2009,497.59,0
CAPTIVE,MANIPUR,CAPTIVE,DIESEL,NON-RENEWABLE,2009,0,0
CAPTIVE,MANIPUR,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2009,0,0
CAPTIVE,MANIPUR,CAPTIVE,HYDRO,NON-RENEWABLE,2009,0,0
CAPTIVE,MANIPUR,CAPTIVE,COAL,NON-RENEWABLE,2009,0,0
UTILITY,MIZORAM,STATE,DIESEL,NON-RENEWABLE,2009,2.51,0
CAPTIVE,MIZORAM,CAPTIVE,DIESEL,NON-RENEWABLE,2009,0,0
CAPTIVE,MIZORAM,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2009,0,0
CAPTIVE,MIZORAM,CAPTIVE,HYDRO,NON-RENEWABLE,2009,0,0
CAPTIVE,MIZORAM,CAPTIVE,COAL,NON-RENEWABLE,2009,0,0
UTILITY,TRIPURA,STATE,NATURAL GAS,NON-RENEWABLE,2009,609.14,0
UTILITY,TRIPURA,STATE,HYDRO,NON-RENEWABLE,2009,50.54,0
UTILITY,TRIPURA,CENTRAL,NATURAL GAS,NON-RENEWABLE,2009,665.25,0
CAPTIVE,TRIPURA,CAPTIVE,DIESEL,NON-RENEWABLE,2009,0,0
CAPTIVE,TRIPURA,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2009,0,0
CAPTIVE,TRIPURA,CAPTIVE,HYDRO,NON-RENEWABLE,2009,0,0
CAPTIVE,TRIPURA,CAPTIVE,COAL,NON-RENEWABLE,2009,0,0
UTILITY,A & N ISLANDS,STATE,DIESEL,NON-RENEWABLE,2009,70.47,0
UTILITY,A & N ISLANDS,STATE,HYDRO,NON-RENEWABLE,2009,9.98,0
UTILITY,A & N ISLANDS,PRIVATE,DIESEL,NON-RENEWABLE,2009,130.03,0
CAPTIVE,A & N ISLANDS,CAPTIVE,DIESEL,NON-RENEWABLE,2009,0,0
CAPTIVE,A & N ISLANDS,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2009,0,0
CAPTIVE,A & N ISLANDS,CAPTIVE,HYDRO,NON-RENEWABLE,2009,0,0
CAPTIVE,A & N ISLANDS,CAPTIVE,COAL,NON-RENEWABLE,2009,0,0
CAPTIVE,DIU & DAMAN,CAPTIVE,DIESEL,NON-RENEWABLE,2009,0.67,0
CAPTIVE,DIU & DAMAN,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2009,0,0
CAPTIVE,DIU & DAMAN,CAPTIVE,HYDRO,NON-RENEWABLE,2009,0,0
CAPTIVE,DIU & DAMAN,CAPTIVE,COAL,NON-RENEWABLE,2009,0,0
UTILITY,LAKSHADWEEP,STATE,DIESEL,NON-RENEWABLE,2009,28.07,0
CAPTIVE,LAKSHADWEEP,CAPTIVE,DIESEL,NON-RENEWABLE,2009,0,0
CAPTIVE,LAKSHADWEEP,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2009,0,0
CAPTIVE,LAKSHADWEEP,CAPTIVE,HYDRO,NON-RENEWABLE,2009,0,0
CAPTIVE,LAKSHADWEEP,CAPTIVE,COAL,NON-RENEWABLE,2009,0,0
CAPTIVE,CHANDIGARH,CAPTIVE,DIESEL,NON-RENEWABLE,2009,6.56,0
CAPTIVE,CHANDIGARH,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2009,0,0
CAPTIVE,CHANDIGARH,CAPTIVE,HYDRO,NON-RENEWABLE,2009,0,0
CAPTIVE,CHANDIGARH,CAPTIVE,COAL,NON-RENEWABLE,2009,0,0
CAPTIVE,DADRA & NAGAR HAVELI,CAPTIVE,DIESEL,NON-RENEWABLE,2009,9.94,0
CAPTIVE,DADRA & NAGAR HAVELI,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2009,0,0
CAPTIVE,DADRA & NAGAR HAVELI,CAPTIVE,HYDRO,NON-RENEWABLE,2009,0,0
CAPTIVE,DADRA & NAGAR HAVELI,CAPTIVE,COAL,NON-RENEWABLE,2009,0,0
UTILITY,ANDHRA PRADESH,UTILITY-RE,SMALL HYDRO,RENEWABLE,2009,80.02,0
UTILITY,ANDHRA PRADESH,UTILITY-RE,WIND,RENEWABLE,2009,172.271,0
UTILITY,ANDHRA PRADESH,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2009,630.962,0
UTILITY,ANDHRA PRADESH,UTILITY-RE,WASTE,RENEWABLE,2009,5.162,0
UTILITY,ANDHRA PRADESH,UTILITY-RE,SOLAR,RENEWABLE,2009,0.049,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,SMALL HYDRO,RENEWABLE,2009,10.682,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,WIND,RENEWABLE,2009,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2009,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,WASTE,RENEWABLE,2009,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,SOLAR,RENEWABLE,2009,0.016,0
UTILITY,ASSAM,UTILITY-RE,SMALL HYDRO,RENEWABLE,2009,47.165,0
UTILITY,ASSAM,UTILITY-RE,WIND,RENEWABLE,2009,0,0
UTILITY,ASSAM,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2009,0,0
UTILITY,ASSAM,UTILITY-RE,WASTE,RENEWABLE,2009,0,0
