EnergySource,EnergySourceType,YearValue,Generation_GWh,PLF_Percent
WIND,RENEWABLE,2016,35044.847,0
RENEWABLES,RENEWABLE,2006,6642.79,0
WIND,RENEWABLE,2006,220.62,0
RENEWABLES,RENEWABLE,2007,9860.11,0
WIND,RENEWABLE,2007,215.88,0
NUCLEAR,NON-RENEWABLE,2017,37915.87,87.66
NUCLEAR,NON-RENEWABLE,2018,38346.12,94.34
NUCLEAR,NON-RENEWABLE,2019,37812.59,82.03
NUCLEAR,NON-RENEWABLE,2020,46472.45,98.09
NUCLEAR,NON-RENEWABLE,2006,17238.89,0
NUCLEAR,NON-RENEWABLE,2007,18606.75,26.56
NUCLEAR,NON-RENEWABLE,2008,16776.91,17.44
NUCLEAR,NON-RENEWABLE,2009,14712.59,19.21
NUCLEAR,NON-RENEWABLE,2010,18636.44,21.21
NUCLEAR,NON-RENEWABLE,2011,26266.4,48.94
NATURAL GAS,NON-RENEWABLE,2012,115436.01,89.82
NUCLEAR,NON-RENEWABLE,2012,32286.56,51.33
NUCLEAR,NON-RENEWABLE,2013,32866.11,65.93
NUCLEAR,NON-RENEWABLE,2014,34227.79,70.14
NUCLEAR,NON-RENEWABLE,2015,36101.54,74.99
NUCLEAR,NON-RENEWABLE,2016,37413.62,88.81
DIESEL,NON-RENEWABLE,2012,8705.61,0
LIGNITE,NON-RENEWABLE,2006,18120.3,0
LIGNITE,NON-RENEWABLE,2007,17544.5,0
LIGNITE,NON-RENEWABLE,2008,22147.52,74.5
LIGNITE,NON-RENEWABLE,2009,20397.2,0
LIGNITE,NON-RENEWABLE,2010,21277.58,85.92
LIGNITE,NON-RENEWABLE,2011,23483,67.32
LIGNITE,NON-RENEWABLE,2012,24394.18,71
NAPHTHA,NON-RENEWABLE,2017,26.38,0
NAPHTHA,NON-RENEWABLE,2018,52.96,0
NAPHTHA,NON-RENEWABLE,2019,0.86,0
RENEWABLES,RENEWABLE,2012,1178.18,0
